,f,fv,value
22103,0.545,0.970,379.10000000000036
22104,0.545,0.975,374.7999999999993
22105,0.545,0.980,370.7999999999993
22106,0.545,0.985,366.89999999999964
22107,0.545,0.990,363.2000000000007
22108,0.545,0.995,359.60000000000036
22109,0.545,1.000,356.2000000000007
22281,0.550,0.855,773.7000000000007
22282,0.550,0.860,666.3999999999996
22283,0.550,0.865,610.8999999999996
22284,0.550,0.870,573.6000000000004
22285,0.550,0.875,545.6000000000004
22286,0.550,0.880,523.2000000000007
22287,0.550,0.885,504.7000000000007
22288,0.550,0.890,488.89999999999964
22289,0.550,0.895,475.2000000000007
22290,0.550,0.900,463.10000000000036
22291,0.550,0.905,452.2999999999993
22292,0.550,0.910,442.5
22293,0.550,0.915,433.7000000000007
22294,0.550,0.920,425.60000000000036
22295,0.550,0.925,418.10000000000036
22296,0.550,0.930,411.2000000000007
22297,0.550,0.935,404.7999999999993
22298,0.550,0.940,398.7999999999993
22299,0.550,0.945,393.2000000000007
22300,0.550,0.950,387.89999999999964
22301,0.550,0.955,382.89999999999964
22302,0.550,0.960,378.2000000000007
22303,0.550,0.965,373.7999999999993
22304,0.550,0.970,369.5
22305,0.550,0.975,365.5
22306,0.550,0.980,361.7000000000007
22307,0.550,0.985,358.10000000000036
22308,0.550,0.990,354.60000000000036
22309,0.550,0.995,351.2000000000007
22310,0.550,1.000,348.0
22481,0.555,0.850,740.8999999999996
22482,0.555,0.855,649.0
22483,0.555,0.860,598.0
22484,0.555,0.865,562.7999999999993
22485,0.555,0.870,536.0
22486,0.555,0.875,514.5
22487,0.555,0.880,496.60000000000036
22488,0.555,0.885,481.2999999999993
22489,0.555,0.890,467.89999999999964
22490,0.555,0.895,456.10000000000036
22491,0.555,0.900,445.60000000000036
22492,0.555,0.905,436.0
22493,0.555,0.910,427.39999999999964
22494,0.555,0.915,419.39999999999964
22495,0.555,0.920,412.10000000000036
22496,0.555,0.925,405.2999999999993
22497,0.555,0.930,399.0
22498,0.555,0.935,393.10000000000036
22499,0.555,0.940,387.60000000000036
22500,0.555,0.945,382.39999999999964
22501,0.555,0.950,377.5
22502,0.555,0.955,372.89999999999964
22503,0.555,0.960,368.5
22504,0.555,0.965,364.2999999999993
22505,0.555,0.970,360.39999999999964
22506,0.555,0.975,356.60000000000036
22507,0.555,0.980,353.0
22508,0.555,0.985,349.60000000000036
22509,0.555,0.990,346.2999999999993
22510,0.555,0.995,343.10000000000036
22511,0.555,1.000,340.10000000000036
22680,0.560,0.840,1123.2999999999993
22681,0.560,0.845,715.7000000000007
22682,0.560,0.850,634.1000000000004
22683,0.560,0.855,586.3999999999996
22684,0.560,0.860,552.8999999999996
22685,0.560,0.865,527.1000000000004
22686,0.560,0.870,506.2999999999993
22687,0.560,0.875,488.89999999999964
22688,0.560,0.880,474.0
22689,0.560,0.885,460.89999999999964
22690,0.560,0.890,449.39999999999964
22691,0.560,0.895,439.0
22692,0.560,0.900,429.7000000000007
22693,0.560,0.905,421.2000000000007
22694,0.560,0.910,413.39999999999964
22695,0.560,0.915,406.2000000000007
22696,0.560,0.920,399.5
22697,0.560,0.925,393.2999999999993
22698,0.560,0.930,387.5
22699,0.560,0.935,382.10000000000036
22700,0.560,0.940,377.0
22701,0.560,0.945,372.10000000000036
22702,0.560,0.950,367.60000000000036
22703,0.560,0.955,363.2999999999993
22704,0.560,0.960,359.2000000000007
22705,0.560,0.965,355.2999999999993
22706,0.560,0.970,351.60000000000036
22707,0.560,0.975,348.0
22708,0.560,0.980,344.60000000000036
22709,0.560,0.985,341.39999999999964
22710,0.560,0.990,338.2999999999993
22711,0.560,0.995,335.2999999999993
22712,0.560,1.000,332.39999999999964
22880,0.565,0.835,932.7000000000007
22881,0.565,0.840,695.5
22882,0.565,0.845,621.0
22883,0.565,0.850,575.8999999999996
22884,0.565,0.855,543.7000000000007
22885,0.565,0.860,518.7999999999993
22886,0.565,0.865,498.60000000000036
