,f,fv,value
21297,0.525,0.960,774.1000000000004
21298,0.525,0.965,765.6000000000004
21299,0.525,0.970,757.6000000000004
21300,0.525,0.975,749.8999999999996
21301,0.525,0.980,742.6000000000004
21302,0.525,0.985,735.6000000000004
21303,0.525,0.990,728.8999999999996
21304,0.525,0.995,722.3999999999996
21305,0.525,1.000,716.2999999999993
21475,0.530,0.845,1494.1000000000004
21476,0.530,0.850,1318.0
21477,0.530,0.855,1218.2000000000007
21478,0.530,0.860,1148.7000000000007
21479,0.530,0.865,1095.7000000000007
21480,0.530,0.870,1053.0
21481,0.530,0.875,1017.3999999999996
21482,0.530,0.880,986.8999999999996
21483,0.530,0.885,960.3999999999996
21484,0.530,0.890,936.8999999999996
21485,0.530,0.895,915.8999999999996
21486,0.530,0.900,896.8999999999996
21487,0.530,0.905,879.6000000000004
21488,0.530,0.910,863.7999999999993
21489,0.530,0.915,849.2000000000007
21490,0.530,0.920,835.7000000000007
21491,0.530,0.925,823.1000000000004
21492,0.530,0.930,811.2999999999993
21493,0.530,0.935,800.2999999999993
21494,0.530,0.940,790.0
21495,0.530,0.945,780.2000000000007
21496,0.530,0.950,771.0
21497,0.530,0.955,762.2999999999993
21498,0.530,0.960,754.0
21499,0.530,0.965,746.1000000000004
21500,0.530,0.970,738.6000000000004
21501,0.530,0.975,731.3999999999996
21502,0.530,0.980,724.5
21503,0.530,0.985,718.0
21504,0.530,0.990,711.7000000000007
21505,0.530,0.995,705.7000000000007
21506,0.530,1.000,699.8999999999996
21674,0.535,0.835,1845.3999999999996
21675,0.535,0.840,1420.6000000000004
21676,0.535,0.845,1275.0
21677,0.535,0.850,1185.8999999999996
21678,0.535,0.855,1122.0
21679,0.535,0.860,1072.3999999999996
21680,0.535,0.865,1032.0
21681,0.535,0.870,998.0
21682,0.535,0.875,968.7999999999993
21683,0.535,0.880,943.2999999999993
21684,0.535,0.885,920.6000000000004
21685,0.535,0.890,900.2999999999993
21686,0.535,0.895,881.8999999999996
21687,0.535,0.900,865.1000000000004
21688,0.535,0.905,849.7000000000007
21689,0.535,0.910,835.5
21690,0.535,0.915,822.2999999999993
21691,0.535,0.920,810.1000000000004
21692,0.535,0.925,798.6000000000004
21693,0.535,0.930,787.7999999999993
21694,0.535,0.935,777.7000000000007
21695,0.535,0.940,768.2000000000007
21696,0.535,0.945,759.2000000000007
21697,0.535,0.950,750.6000000000004
21698,0.535,0.955,742.5
21699,0.535,0.960,734.7999999999993
21700,0.535,0.965,727.3999999999996
21701,0.535,0.970,720.3999999999996
21702,0.535,0.975,713.7000000000007
21703,0.535,0.980,707.2000000000007
21704,0.535,0.985,701.1000000000004
21705,0.535,0.990,695.2000000000007
21706,0.535,0.995,689.5
21707,0.535,1.000,684.0
21874,0.540,0.830,1645.2000000000007
21875,0.540,0.835,1363.7000000000007
21876,0.540,0.840,1238.0
21877,0.540,0.845,1157.0
21878,0.540,0.850,1097.3999999999996
21879,0.540,0.855,1050.6000000000004
21880,0.540,0.860,1012.1000000000004
21881,0.540,0.865,979.6000000000004
21882,0.540,0.870,951.5
21883,0.540,0.875,926.7999999999993
21884,0.540,0.880,904.8999999999996
21885,0.540,0.885,885.2000000000007
21886,0.540,0.890,867.2999999999993
21887,0.540,0.895,851.0
21888,0.540,0.900,836.0
21889,0.540,0.905,822.1000000000004
21890,0.540,0.910,809.2999999999993
21891,0.540,0.915,797.2999999999993
21892,0.540,0.920,786.1000000000004
21893,0.540,0.925,775.6000000000004
21894,0.540,0.930,765.7000000000007
21895,0.540,0.935,756.2999999999993
21896,0.540,0.940,747.5
21897,0.540,0.945,739.1000000000004
21898,0.540,0.950,731.2000000000007
21899,0.540,0.955,723.6000000000004
21900,0.540,0.960,716.3999999999996
21901,0.540,0.965,709.5
21902,0.540,0.970,702.8999999999996
21903,0.540,0.975,696.6000000000004
21904,0.540,0.980,690.6000000000004
21905,0.540,0.985,684.7999999999993
21906,0.540,0.990,679.2000000000007
21907,0.540,0.995,673.7999999999993
21908,0.540,1.000,668.6000000000004
22074,0.545,0.825,1536.2999999999993
22075,0.545,0.830,1317.2999999999993
22076,0.545,0.835,1205.6000000000004
22077,0.545,0.840,1130.7000000000007
22078,0.545,0.845,1074.7000000000007
22079,0.545,0.850,1030.2000000000007
22080,0.545,0.855,993.2999999999993
22081,0.545,0.860,962.0
22082,0.545,0.865,934.8999999999996
22083,0.545,0.870,911.0
22084,0.545,0.875,889.7000000000007
22085,0.545,0.880,870.5
22086,0.545,0.885,853.1000000000004
22087,0.545,0.890,837.2000000000007
22088,0.545,0.895,822.6000000000004
22089,0.545,0.900,809.0
22090,0.545,0.905,796.5
22091,0.545,0.910,784.7999999999993
22092,0.545,0.915,773.7999999999993
22093,0.545,0.920,763.5
22094,0.545,0.925,753.7999999999993
22095,0.545,0.930,744.7000000000007
22096,0.545,0.935,736.0
22097,0.545,0.940,727.7999999999993
22098,0.545,0.945,720.0
22099,0.545,0.950,712.6000000000004
22100,0.545,0.955,705.5
22101,0.545,0.960,698.7999999999993
22102,0.545,0.965,692.2999999999993
22103,0.545,0.970,686.1000000000004
