,f,fv,value
22709,0.560,0.985,767.7000000000007
22710,0.560,0.990,757.5
22711,0.560,0.995,747.7999999999993
22712,0.560,1.000,738.7000000000007
22890,0.565,0.885,1639.2999999999993
22891,0.565,0.890,1353.3999999999996
22892,0.565,0.895,1226.2999999999993
22893,0.565,0.900,1144.2999999999993
22894,0.565,0.905,1084.0
22895,0.565,0.910,1036.6000000000004
22896,0.565,0.915,997.6000000000004
22897,0.565,0.920,964.6000000000004
22898,0.565,0.925,936.1000000000004
22899,0.565,0.930,911.0
22900,0.565,0.935,888.7000000000007
22901,0.565,0.940,868.7000000000007
22902,0.565,0.945,850.5
22903,0.565,0.950,833.8999999999996
22904,0.565,0.955,818.6000000000004
22905,0.565,0.960,804.5
22906,0.565,0.965,791.3999999999996
22907,0.565,0.970,779.2000000000007
22908,0.565,0.975,767.7999999999993
22909,0.565,0.980,757.0
22910,0.565,0.985,746.8999999999996
22911,0.565,0.990,737.3999999999996
22912,0.565,0.995,728.3999999999996
22913,0.565,1.000,719.8999999999996
23090,0.570,0.880,1575.2999999999993
23091,0.570,0.885,1324.7999999999993
23092,0.570,0.890,1205.0
23093,0.570,0.895,1126.2000000000007
23094,0.570,0.900,1067.7999999999993
23095,0.570,0.905,1021.5
23096,0.570,0.910,983.3999999999996
23097,0.570,0.915,951.0
23098,0.570,0.920,923.0
23099,0.570,0.925,898.3999999999996
23100,0.570,0.930,876.3999999999996
23101,0.570,0.935,856.7000000000007
23102,0.570,0.940,838.7000000000007
23103,0.570,0.945,822.3999999999996
23104,0.570,0.950,807.2999999999993
23105,0.570,0.955,793.3999999999996
23106,0.570,0.960,780.5
23107,0.570,0.965,768.3999999999996
23108,0.570,0.970,757.1000000000004
23109,0.570,0.975,746.5
23110,0.570,0.980,736.6000000000004
23111,0.570,0.985,727.2000000000007
23112,0.570,0.990,718.2999999999993
23113,0.570,0.995,709.7999999999993
23114,0.570,1.000,701.7999999999993
23290,0.575,0.875,1528.6000000000004
23291,0.575,0.880,1300.5
23292,0.575,0.885,1186.0
23293,0.575,0.890,1109.6000000000004
23294,0.575,0.895,1052.6000000000004
23295,0.575,0.900,1007.2999999999993
23296,0.575,0.905,969.7999999999993
23297,0.575,0.910,938.0
23298,0.575,0.915,910.3999999999996
23299,0.575,0.920,886.1000000000004
23300,0.575,0.925,864.5
23301,0.575,0.930,845.0
23302,0.575,0.935,827.2999999999993
23303,0.575,0.940,811.1000000000004
23304,0.575,0.945,796.2000000000007
23305,0.575,0.950,782.5
23306,0.575,0.955,769.7000000000007
23307,0.575,0.960,757.7999999999993
23308,0.575,0.965,746.6000000000004
23309,0.575,0.970,736.2000000000007
23310,0.575,0.975,726.2999999999993
