,f,fv,value
30547,0.755,0.980,354.89999999999964
30548,0.755,0.985,351.5
30549,0.755,0.990,348.2000000000007
30550,0.755,0.995,345.0
30551,0.755,1.000,341.89999999999964
30716,0.760,0.820,950.8999999999996
30717,0.760,0.825,778.7999999999993
30718,0.760,0.830,688.7000000000007
30719,0.760,0.835,629.5
30720,0.760,0.840,586.3999999999996
30721,0.760,0.845,553.0
30722,0.760,0.850,526.2000000000007
30723,0.760,0.855,503.89999999999964
30724,0.760,0.860,485.10000000000036
30725,0.760,0.865,468.7999999999993
30726,0.760,0.870,454.60000000000036
30727,0.760,0.875,442.0
30728,0.760,0.880,430.7999999999993
30729,0.760,0.885,420.7000000000007
30730,0.760,0.890,411.5
30731,0.760,0.895,403.2000000000007
30732,0.760,0.900,395.5
30733,0.760,0.905,388.39999999999964
30734,0.760,0.910,381.89999999999964
30735,0.760,0.915,375.7999999999993
30736,0.760,0.920,370.10000000000036
30737,0.760,0.925,364.7999999999993
30738,0.760,0.930,359.89999999999964
30739,0.760,0.935,355.2000000000007
30740,0.760,0.940,350.7999999999993
30741,0.760,0.945,346.60000000000036
30742,0.760,0.950,342.60000000000036
30743,0.760,0.955,338.89999999999964
30744,0.760,0.960,335.2999999999993
30745,0.760,0.965,331.89999999999964
30746,0.760,0.970,328.7000000000007
30747,0.760,0.975,325.60000000000036
30748,0.760,0.980,322.60000000000036
30749,0.760,0.985,319.7999999999993
30750,0.760,0.990,317.0
30751,0.760,0.995,314.39999999999964
30752,0.760,1.000,311.89999999999964
30915,0.765,0.810,860.3999999999996
30916,0.765,0.815,702.8999999999996
30917,0.765,0.820,620.7999999999993
30918,0.765,0.825,567.3999999999996
30919,0.765,0.830,528.8999999999996
30920,0.765,0.835,499.2000000000007
30921,0.765,0.840,475.39999999999964
30922,0.765,0.845,455.7999999999993
30923,0.765,0.850,439.2000000000007
30924,0.765,0.855,424.89999999999964
30925,0.765,0.860,412.39999999999964
30926,0.765,0.865,401.39999999999964
30927,0.765,0.870,391.60000000000036
30928,0.765,0.875,382.7999999999993
30929,0.765,0.880,374.7999999999993
30930,0.765,0.885,367.39999999999964
30931,0.765,0.890,360.7000000000007
30932,0.765,0.895,354.60000000000036
30933,0.765,0.900,348.7999999999993
30934,0.765,0.905,343.5
30935,0.765,0.910,338.60000000000036
30936,0.765,0.915,333.89999999999964
30937,0.765,0.920,329.5
30938,0.765,0.925,325.39999999999964
30939,0.765,0.930,321.60000000000036
30940,0.765,0.935,317.89999999999964
30941,0.765,0.940,314.39999999999964
30942,0.765,0.945,311.10000000000036
30943,0.765,0.950,308.0
30944,0.765,0.955,305.0
30945,0.765,0.960,302.2000000000007
30946,0.765,0.965,299.39999999999964
30947,0.765,0.970,296.7999999999993
30948,0.765,0.975,294.2999999999993
30949,0.765,0.980,291.89999999999964
30950,0.765,0.985,289.60000000000036
30951,0.765,0.990,287.39999999999964
30952,0.765,0.995,285.2999999999993
30953,0.765,1.000,283.2000000000007
31114,0.770,0.800,769.7000000000007
31115,0.770,0.805,620.7999999999993
31116,0.770,0.810,547.2000000000007
31117,0.770,0.815,500.60000000000036
31118,0.770,0.820,467.39999999999964
31119,0.770,0.825,442.10000000000036
31120,0.770,0.830,422.0
31121,0.770,0.835,405.39999999999964
31122,0.770,0.840,391.39999999999964
31123,0.770,0.845,379.39999999999964
31124,0.770,0.850,368.89999999999964
31125,0.770,0.855,359.60000000000036
31126,0.770,0.860,351.2999999999993
31127,0.770,0.865,343.89999999999964
31128,0.770,0.870,337.10000000000036
31129,0.770,0.875,330.89999999999964
31130,0.770,0.880,325.2999999999993
31131,0.770,0.885,320.0
31132,0.770,0.890,315.2000000000007
31133,0.770,0.895,310.7000000000007
31134,0.770,0.900,306.5
31135,0.770,0.905,302.5
31136,0.770,0.910,298.7999999999993
31137,0.770,0.915,295.2999999999993
31138,0.770,0.920,292.0
31139,0.770,0.925,288.89999999999964
31140,0.770,0.930,285.89999999999964
31141,0.770,0.935,283.10000000000036
31142,0.770,0.940,280.39999999999964
31143,0.770,0.945,277.7999999999993
31144,0.770,0.950,275.39999999999964
31145,0.770,0.955,273.10000000000036
31146,0.770,0.960,270.7999999999993
31147,0.770,0.965,268.7000000000007
31148,0.770,0.970,266.60000000000036
31149,0.770,0.975,264.60000000000036
31150,0.770,0.980,262.7000000000007
31151,0.770,0.985,260.89999999999964
31152,0.770,0.990,259.10000000000036
31153,0.770,0.995,257.39999999999964
31154,0.770,1.000,255.70000000000073
31313,0.775,0.790,654.5
31314,0.775,0.795,522.3999999999996
31315,0.775,0.800,463.2000000000007
31316,0.775,0.805,426.60000000000036
31317,0.775,0.810,400.7999999999993
31318,0.775,0.815,381.2000000000007
31319,0.775,0.820,365.5
31320,0.775,0.825,352.60000000000036
31321,0.775,0.830,341.60000000000036
31322,0.775,0.835,332.2000000000007
31323,0.775,0.840,323.89999999999964
31324,0.775,0.845,316.60000000000036
31325,0.775,0.850,310.0
31326,0.775,0.855,304.10000000000036
31327,0.775,0.860,298.7000000000007
31328,0.775,0.865,293.7000000000007
31329,0.775,0.870,289.2000000000007
31330,0.775,0.875,284.89999999999964
31331,0.775,0.880,281.0
31332,0.775,0.885,277.39999999999964
31333,0.775,0.890,273.89999999999964
31334,0.775,0.895,270.7000000000007
31335,0.775,0.900,267.7000000000007
31336,0.775,0.905,264.7999999999993
31337,0.775,0.910,262.10000000000036
31338,0.775,0.915,259.5
31339,0.775,0.920,257.10000000000036
31340,0.775,0.925,254.79999999999927
31341,0.775,0.930,252.60000000000036
31342,0.775,0.935,250.39999999999964
31343,0.775,0.940,248.39999999999964
31344,0.775,0.945,246.5
31345,0.775,0.950,244.60000000000036
31346,0.775,0.955,242.79999999999927
31347,0.775,0.960,241.10000000000036
31348,0.775,0.965,239.39999999999964
