,f,fv,value
13449,0.330,0.915,1270.2000000000007
13450,0.330,0.920,1210.2999999999993
13451,0.330,0.925,1162.7000000000007
13452,0.330,0.930,1123.2000000000007
13453,0.330,0.935,1089.5
13454,0.330,0.940,1060.1000000000004
13455,0.330,0.945,1034.2000000000007
13456,0.330,0.950,1011.0
13457,0.330,0.955,990.1000000000004
13458,0.330,0.960,971.0
13459,0.330,0.965,953.3999999999996
13460,0.330,0.970,937.2000000000007
13461,0.330,0.975,922.2000000000007
13462,0.330,0.980,908.2000000000007
13463,0.330,0.985,895.1000000000004
13464,0.330,0.990,882.7999999999993
13465,0.330,0.995,871.2999999999993
13466,0.330,1.000,860.2999999999993
13646,0.335,0.895,1650.3999999999996
13647,0.335,0.900,1439.7999999999993
13648,0.335,0.905,1328.3999999999996
13649,0.335,0.910,1252.6000000000004
13650,0.335,0.915,1195.2000000000007
13651,0.335,0.920,1149.1000000000004
13652,0.335,0.925,1110.7000000000007
13653,0.335,0.930,1077.7999999999993
13654,0.335,0.935,1049.2000000000007
13655,0.335,0.940,1023.7999999999993
13656,0.335,0.945,1001.0
13657,0.335,0.950,980.3999999999996
13658,0.335,0.955,961.6000000000004
13659,0.335,0.960,944.2999999999993
13660,0.335,0.965,928.3999999999996
13661,0.335,0.970,913.6000000000004
13662,0.335,0.975,899.7000000000007
13663,0.335,0.980,886.7999999999993
13664,0.335,0.985,874.7000000000007
13665,0.335,0.990,863.2000000000007
13666,0.335,0.995,852.3999999999996
13667,0.335,1.000,842.2000000000007
13846,0.340,0.890,1598.1000000000004
13847,0.340,0.895,1412.7000000000007
13848,0.340,0.900,1308.7000000000007
13849,0.340,0.905,1236.2999999999993
13850,0.340,0.910,1181.0
13851,0.340,0.915,1136.2999999999993
13852,0.340,0.920,1098.8999999999996
13853,0.340,0.925,1066.7000000000007
13854,0.340,0.930,1038.6000000000004
13855,0.340,0.935,1013.7000000000007
13856,0.340,0.940,991.2999999999993
13857,0.340,0.945,971.0
13858,0.340,0.950,952.5
13859,0.340,0.955,935.5
13860,0.340,0.960,919.7000000000007
13861,0.340,0.965,905.1000000000004
13862,0.340,0.970,891.3999999999996
13863,0.340,0.975,878.7000000000007
13864,0.340,0.980,866.6000000000004
13865,0.340,0.985,855.2999999999993
13866,0.340,0.990,844.6000000000004
13867,0.340,0.995,834.5
13868,0.340,1.000,824.8999999999996
14045,0.345,0.880,2420.3999999999996
14046,0.345,0.885,1556.5
14047,0.345,0.890,1389.0
14048,0.345,0.895,1290.7999999999993
14049,0.345,0.900,1221.2999999999993
14050,0.345,0.905,1167.7000000000007
14051,0.345,0.910,1124.2000000000007
14052,0.345,0.915,1087.6000000000004
14053,0.345,0.920,1056.1000000000004
14054,0.345,0.925,1028.5
14055,0.345,0.930,1004.0
14056,0.345,0.935,981.8999999999996
14057,0.345,0.940,961.8999999999996
14058,0.345,0.945,943.6000000000004
14059,0.345,0.950,926.7999999999993
14060,0.345,0.955,911.2999999999993
14061,0.345,0.960,896.7999999999993
14062,0.345,0.965,883.2999999999993
14063,0.345,0.970,870.7000000000007
14064,0.345,0.975,858.7999999999993
14065,0.345,0.980,847.6000000000004
14066,0.345,0.985,837.0
14067,0.345,0.990,826.8999999999996
14068,0.345,0.995,817.3999999999996
14069,0.345,1.000,808.2999999999993
14245,0.350,0.875,2026.2999999999993
14246,0.350,0.880,1522.2999999999993
14247,0.350,0.885,1368.0
14248,0.350,0.890,1274.5
14249,0.350,0.895,1207.3999999999996
14250,0.350,0.900,1155.2999999999993
14251,0.350,0.905,1112.7000000000007
14252,0.350,0.910,1076.8999999999996
14253,0.350,0.915,1045.8999999999996
14254,0.350,0.920,1018.7999999999993
14255,0.350,0.925,994.6000000000004
14256,0.350,0.930,972.7999999999993
14257,0.350,0.935,953.1000000000004
14258,0.350,0.940,935.0
14259,0.350,0.945,918.3999999999996
14260,0.350,0.950,903.0
14261,0.350,0.955,888.7000000000007
14262,0.350,0.960,875.2999999999993
14263,0.350,0.965,862.7999999999993
14264,0.350,0.970,851.0
14265,0.350,0.975,839.8999999999996
14266,0.350,0.980,829.3999999999996
14267,0.350,0.985,819.5
14268,0.350,0.990,810.0
14269,0.350,0.995,801.0
14270,0.350,1.000,792.3999999999996
14445,0.355,0.870,1888.2000000000007
14446,0.355,0.875,1493.7000000000007
14447,0.355,0.880,1349.2999999999993
14448,0.355,0.885,1259.6000000000004
14449,0.355,0.890,1194.5
14450,0.355,0.895,1143.6000000000004
14451,0.355,0.900,1101.8999999999996
14452,0.355,0.905,1066.7000000000007
14453,0.355,0.910,1036.2000000000007
14454,0.355,0.915,1009.3999999999996
14455,0.355,0.920,985.5
14456,0.355,0.925,964.1000000000004
14457,0.355,0.930,944.5
14458,0.355,0.935,926.7000000000007
14459,0.355,0.940,910.2000000000007
14460,0.355,0.945,895.0
14461,0.355,0.950,880.7999999999993
14462,0.355,0.955,867.5
14463,0.355,0.960,855.1000000000004
